2425,CHAINTECH
2426,TYNTEK
2427,MDS
2428,THINKING
2429,QEC
2430,TKE
2431,LIEN CHANG
2433,ASC
2434,MOSPEC
2436,Weltrend
2437,RALEC
2438,ENLIGHT
2439,MERRY
2440,SPACE SHUTTLE
2441,GTK
2442,JEAN
2443,LEAD DATA INC.
2444,AboCom
2446,PPt
2448,EPISTAR
2449,KYEC
2450,SENAO
2451,Transcend
2452,CYNTEC CO. LTD
2453,SYSCOM
2454,MTK
2455,VPEC
2456,CHILISIN
2457,PHIHONG
2458,ELAN
2459,AUDIX
2460,GEM
2461,K LASER
2462,LINETEK
2463,AAEON
2464,Mirle
2465,LEADTEK
2466,COSMO
2467,C SUN
2468,FIS
2471,ARES
2472,LELON
2473,SPRINGSOFT
2474,CATCHER
2475,CPT
2476,GS
2477,MEILOON
2478,TA-I
2480,STARK
2481,PAN JIT
2482,UIC
2483,ECE
2484,SIWARD
2485,ZINWELL
2486,I-CHIUN
2488,HANPIN
2489,AMTRAN
2491,Infodisc
2492,WTC
2493,AMPOC
2495,Infortrend
2496,P.O.F.C.
2497,E-LEAD
2498,HTC
2499,Unity
2501,CATHAY RED
2504,GDC
2505,ky
2506,PCC
2509,CHAINQUI
2511,PHD
2514,LONG BON
2515,BES
2516,New Asia
2520,KINDOM
2524,KTC
2526,CEC
2527,Hung Ching
2528,CROWELL
2530,DELPHA
2534,HSC
2535,DA CIN
2536,Hung Poo
2537,WE &WIN
2538,KeeTai
2539,SAKURAD
2540,Jin Shang Chang
2542,Highwealth
2543,HWANG CHANG
2545,HUANG HSIANG
2546,KEDGE
2547,RADIUM
2548,HUAKU°@
2601,FSC
2603,EMC
2605,SNC
2606,U-MING
2607,EITC
2608,T.JOIN
2609,YMTC
2610,CAL
2611,TSI
2612,CMT
2613,CCTC
2614,EMIC
2615,WANHAI
2616,SLC
2617,TAIWANLINE
2618,EVAAIR
2701,WANHWA
2702,HG
2704,AMBH
2705,LEOFOO
2706,FIRST HOTEL
2707,GFRT
2801,C.H.B
2809,KTB
2812,T.C.C.B.
2816,UNION INS.
2820,CBF
2823,CHINA LIFE
2832,TFMI
2833,Taiwan Life
2834,TBB
2836,B.O.K
2837,CSMB
2838,UBOT
2841,TLDC
2845,FEIB
2847,TC bank
