8225,98,1,10401
8225,98,2,22195
8225,98,3,31652
8225,98,4,29789
8225,98,5,31395
8225,98,6,42562
8225,98,7,41918
8225,98,8,42440
8225,98,9,46546
8225,98,10,33059
8225,96,1,38175
8225,96,2,30162
8225,96,3,57443
8225,96,4,65725
8225,96,5,64614
8225,96,6,66513
8225,96,7,68347
8225,96,8,76975
8225,96,9,69191
8225,96,10,59118
8225,96,11,55661
8225,96,12,64636
8225,97,1,41057
8225,97,2,21291
8225,97,3,44285
8225,97,4,67421
8225,97,5,73273
8225,97,6,52527
8225,97,7,54409
8225,97,8,61826
8225,97,9,59274
8225,97,10,49874
8225,97,11,23238
8225,97,12,22998
8225,93,1,55223
8225,93,2,68538
8225,93,3,55678
8225,93,4,66086
8225,93,5,62279
8225,93,6,70657
8225,93,7,79018
8225,93,8,92273
8225,93,9,114809
8225,93,10,96236
8225,93,11,63674
8225,93,12,52609
8225,92,1,15809
8225,92,2,17106
8225,92,3,18518
8225,92,4,25006
8225,92,5,45421
8225,92,6,51428
8225,92,7,44787
8225,92,8,28802
8225,92,9,35434
8225,92,10,61554
8225,92,11,60354
8225,92,12,40222
8225,95,1,38568
8225,95,2,33652
8225,95,3,41481
8225,95,4,44260
8225,95,5,46895
8225,95,6,56145
8225,95,7,73433
8225,95,8,73048
8225,95,9,85689
8225,95,10,90770
8225,95,11,62827
8225,95,12,41621
8225,94,1,55178
8225,94,2,65554
8225,94,3,64189
8225,94,4,62588
8225,94,5,52398
8225,94,6,45035
8225,94,7,48262
8225,94,8,70762
8225,94,9,81550
8225,94,10,103719
8225,94,11,67599
8225,94,12,50204
1410,98,1,13862
1410,98,2,15925
1410,98,3,16142
1410,98,4,16363
1410,98,5,15985
1410,98,6,21184
1410,98,7,20561
1410,98,8,17157
1410,98,9,19416
1410,98,10,14695
1410,96,1,35415
1410,96,2,16994
1410,96,3,41150
1410,96,4,36185
1410,96,5,31505
1410,96,6,31256
1410,96,7,31211
1410,96,8,24749
1410,96,9,19612
1410,96,10,26199
1410,96,11,23691
1410,96,12,24484
1410,97,1,23698
1410,97,2,10874
1410,97,3,23001
1410,97,4,21099
1410,97,5,25865
1410,97,6,26573
1410,97,7,25547
1410,97,8,21814
1410,97,9,19229
1410,97,10,19769
1410,97,11,21496
1410,97,12,20213
1410,93,1,25531
1410,93,2,35373
1410,93,3,41681
1410,93,4,39399
1410,93,5,38758
1410,93,6,44964
1410,93,7,45725
1410,93,8,39497
1410,93,9,32991
1410,93,10,25977
1410,93,11,31606
1410,93,12,39841
1410,92,1,35975
1410,92,2,23124
1410,92,3,49778
1410,92,4,50446
1410,92,5,51117
1410,92,6,39818
1410,92,7,43391
1410,92,8,37069
1410,92,9,41560
1410,92,10,47996
1410,92,11,41781
1410,92,12,35097
1410,95,1,24343
1410,95,2,18605
1410,95,3,31915
1410,95,4,32383
1410,95,5,38971
1410,95,6,38299
1410,95,7,37741
1410,95,8,40042
1410,95,9,34674
1410,95,10,21081
1410,95,11,24365
1410,95,12,27381
1410,94,1,39317
1410,94,2,22566
1410,94,3,32262
1410,94,4,32177
1410,94,5,29216
1410,94,6,31802
1410,94,7,37555
1410,94,8,43589
1410,94,9,27749
1410,94,10,30665
1410,94,11,29720
1410,94,12,26892
1410,91,1,27641
1410,91,2,18183
1410,91,3,33218
1410,91,4,36707
1410,91,5,37468
1410,91,6,36444
1410,91,7,46714
1410,91,8,38758
1410,91,9,29438
1410,91,10,37306
1410,91,11,33004
1410,91,12,31566
1410,90,10,28782
1410,90,11,30196
1410,90,12,27781
8227,98,1,14460
8227,98,2,18550
8227,98,3,32160
8227,98,4,23783
8227,98,5,23475
8227,98,6,14312
8227,98,7,29506
8227,98,8,15662
8227,98,9,13460
8227,98,10,16420
8227,96,1,27208
8227,96,2,19848
8227,96,3,54499
8227,96,4,19277
8227,96,5,25977
8227,96,6,31793
8227,96,7,30209
8227,96,8,26545
8227,96,9,30597
8227,96,10,55008
8227,96,11,32667
8227,96,12,53824
8227,97,1,37158
8227,97,2,39183
8227,97,3,32969
8227,97,4,40320
8227,97,5,23882
8227,97,6,37136
8227,97,7,52408
8227,97,8,46900
8227,97,9,25025
8227,97,10,24472
8227,97,11,16496
8227,97,12,28446
8227,93,1,59018
8227,93,2,26672
8227,93,3,84122
8227,93,4,44581
8227,93,5,47402
8227,93,6,65952
8227,93,7,43810
8227,93,8,118009
8227,93,9,113259
8227,93,10,47758
8227,93,11,82345
8227,93,12,41143
8227,92,1,44167
8227,92,2,23147
8227,92,3,27742
8227,92,4,23610
8227,92,5,28815
8227,92,6,45913
8227,92,7,34368
8227,92,8,39412
8227,92,9,34790
8227,92,10,39214
8227,92,11,47020
8227,92,12,51193
8227,95,1,38288
8227,95,2,19234
8227,95,3,47273
8227,95,4,41763
8227,95,5,22827
8227,95,6,18252
8227,95,7,22851
8227,95,8,50849
8227,95,9,76019
8227,95,10,41164
8227,95,11,30270
8227,95,12,23980
8227,94,1,55941
8227,94,2,13994
8227,94,3,42024
8227,94,4,52557
8227,94,5,62202
8227,94,6,32865
8227,94,7,20219
